按纳	按捺
案语	按语
百废具兴	百废俱兴
百页窗	百叶窗
班白	斑白
颁白	斑白
班驳	斑驳
胞子	孢子
保镳	保镖
保母	保姆
褓姆	保姆
辈份	辈分
本份	本分
笔划	笔画
必恭必敬	毕恭毕敬
编者案	编者按
萹豆	扁豆
稨豆	扁豆
藊豆	扁豆
标识	标志
鬓脚	鬓角
禀承	秉承
补靪	补丁
补钉	补丁
参预	参与
惨澹	惨淡
差迟	差池
搀和	掺和
搀假	掺假
搀杂	掺杂
刬除	铲除
倘佯	徜徉
车箱	车厢
澈底	彻底
沈思	沉思
趁心	称心
成份	成分
澄彻	澄澈
侈糜	侈靡
筹画	筹划
筹马	筹码
踌蹰	踌躇
出谋画策	出谋划策
喘嘘嘘	喘吁吁
磁器	瓷器
赐与	赐予
粗卤	粗鲁
搭当	搭档
搭挡	搭档
搭赸	搭讪
答讪	搭讪
答覆	答复
带孝	戴孝
耽心	担心
耽忧	担忧
担搁	耽搁
澹泊	淡泊
澹然	淡然
倒楣	倒霉
低徊	低回
雕敝	凋敝
雕弊	凋敝
雕零	凋零
雕落	凋落
雕谢	凋谢
跌荡	跌宕
跌交	跌跤
蹀血	喋血
丁宁	叮咛
定单	订单
定户	订户
定婚	订婚
定货	订货
定阅	订阅
枓拱	斗拱
枓栱	斗拱
逗遛	逗留
斗趣儿	逗趣儿
独脚戏	独角戏
端五	端午
二簧	二黄
贰心	二心
酦酵	发酵
发人深醒	发人深省
蕃衍	繁衍
分付	吩咐
份量	分量
份内	分内
份外	分外
份子	分子
忿忿	愤愤
丰富多采	丰富多彩
疯瘫	风瘫
疯颠	疯癫
锋铓	锋芒
伏侍	服侍
服事	服侍
伏输	服输
伏罪	服罪
负嵎顽抗	负隅顽抗
傅会	附会
覆信	复信
复辙	覆辙
干与	干预
告戒	告诫
梗直	耿直
鲠直	耿直
恭惟	恭维
勾划	勾画
勾联	勾连
孤苦零丁	孤苦伶仃
孤负	辜负
骨董	古董
股分	股份
骨瘦如豺	骨瘦如柴
关连	关联
光采	光彩
归根结柢	归根结底
规戒	规诫
鬼哭狼嗥	鬼哭狼嚎
过份	过分
虾蟆	蛤蟆
含胡	含糊
涵蓄	含蓄
寒伧	寒碜
喝采	喝彩
喝倒采	喝倒彩
哄动	轰动
宏扬	弘扬
红通通	红彤彤
弘论	宏论
弘图	宏图
鸿图	宏图
弘愿	宏愿
弘旨	宏旨
鸿福	洪福
胡臭	狐臭
胡蝶	蝴蝶
胡涂	糊涂
虎魄	琥珀
花着	花招
豁拳	划拳
搳拳	划拳
恍忽	恍惚
晖映	辉映
㱮脓	溃脓
混水摸鱼	浑水摸鱼
火伴	伙伴
机伶	机灵
激忿	激愤
计画	计划
记念	纪念
寄与	寄予
茄克	夹克
佳宾	嘉宾
驾御	驾驭
架式	架势
嫁装	嫁妆
简炼	简练
骄奢淫佚	骄奢淫逸
脚门	角门
狡滑	狡猾
脚根	脚跟
叫化子	叫花子
精采	精彩
鸠合	纠合
鸠集	纠集
就坐	就座
脚色	角色
刻期	克期
刻日	克日
刻划	刻画
阔老	阔佬
蓝缕	褴褛
烂缦	烂漫
烂熳	烂漫
狼籍	狼藉
狼头	榔头
𨱍头	榔头
累坠	累赘
黎黑	黧黑
联贯	连贯
联接	连接
联绵	连绵
联缀	连缀
连结	联结
连袂	联袂
连翩	联翩
踉蹡	踉跄
嘹喨	嘹亮
撩乱	缭乱
零丁	伶仃
囹圉	囹圄
蹓跶	溜达
留连	流连
喽罗	喽啰
偻㑩	喽啰
卤莽	鲁莽
录象	录像
录相	录像
落腮胡子	络腮胡子
落漠	落寞
落莫	落寞
痲痹	麻痹
痲风	麻风
痲疹	麻疹
蚂蜂	马蜂
马糊	马虎
门坎	门槛
糜费	靡费
绵联	绵连
靦觍	腼腆
摹仿	模仿
模胡	模糊
摹拟	模拟
模写	摹写
磨擦	摩擦
磨拳擦掌	摩拳擦掌
魔难	磨难
眽眽	脉脉
谋画	谋划
那末	那么
内哄	内讧
凝炼	凝练
牛崽裤	牛仔裤
钮扣	纽扣
掱手	扒手
蟠根错节	盘根错节
盘据	盘踞
蟠踞	盘踞
蟠据	盘踞
蟠曲	盘曲
盘陁	盘陀
盘石	磐石
蟠石	磐石
盘跚	蹒跚
旁皇	彷徨
披星带月	披星戴月
疲塌	疲沓
飘泊	漂泊
飘流	漂流
漂零	飘零
飘飖	飘摇
平空	凭空
牵联	牵连
蕉萃	憔悴
清彻	清澈
情素	情愫
惓惓	拳拳
劝戒	劝诫
热呼呼	热乎乎
热呼	热乎
热中	热衷
人材	人才
日蚀	日食
入坐	入座
色采	色彩
杀一警百	杀一儆百
沙鱼	鲨鱼
山查	山楂
舢舨	舢板
梢公	艄公
奢糜	奢靡
伸雪	申雪
神彩	神采
湿渌渌	湿漉漉
十锦	什锦
收伏	收服
首坐	首座
书柬	书简
双𨱑	双簧
思惟	思维
死心踏地	死心塌地
塌实	踏实
菾菜	甜菜
挺而走险	铤而走险
透澈	透彻
图象	图像
推委	推诿
玩艺儿	玩意儿
委过	诿过
污七八糟	乌七八糟
无动于中	无动于衷
无宁	毋宁
无庸	毋庸
五采缤纷	五彩缤纷
五痨七伤	五劳七伤
瘜肉	息肉
希罕	稀罕
希奇	稀奇
希少	稀少
希世	稀世
希有	稀有
噏动	翕动
洗炼	洗练
贤慧	贤惠
香纯	香醇
香菰	香菇
像貌	相貌
萧洒	潇洒
小题大作	小题大做
卸傤	卸载
信口开合	信口开河
惺松	惺忪
秀外惠中	秀外慧中
叙文	序文
叙言	序言
训戒	训诫
压伏	压服
压韵	押韵
雅片	鸦片
洋琴	扬琴
要末	要么
夜消	夜宵
一槌定音	一锤定音
一古脑儿	一股脑儿
衣衿	衣襟
衣著	衣着
义无返顾	义无反顾
霪雨	淫雨
赢余	盈余
影象	影像
余辉	余晖
鱼具	渔具
鱼网	渔网
预会	与会
预闻	与闻
御手	驭手
豫备	预备
元来	原来
元煤	原煤
源源本本	原原本本
元元本本	原原本本
原故	缘故
原由	缘由
月蚀	月食
月芽	月牙
云豆	芸豆
杂遝	杂沓
再接再砺	再接再厉
斩新	崭新
展转	辗转
颤栗	战栗
帐本	账本
折衷	折中
这末	这么
正经八摆	正经八百
脂麻	芝麻
支解	肢解
枝解	肢解
直捷了当	直截了当
直接了当	直截了当
指手划脚	指手画脚
赒济	周济
转游	转悠
装璜	装潢
孳孳	孜孜
孳孳不倦	孜孜不倦
姿式	姿势
子细	仔细
自各儿	自个儿
左证	佐证
牴触	抵触
牴牾	抵牾
啑血	喋血
彷彿	仿佛
髣髴	仿佛
飞飏	飞扬
雰围	氛围
搆陷	构陷
浩淼	浩渺
红菓儿	红果儿
衚衕	胡同
𫗫口	糊口
蒺蔾	蒺藜
傢伙	家伙
傢具	家具
傢什	家什
儌倖	侥幸
徼倖	侥幸
侷促	局促
跼促	局促
噘嘴	撅嘴
剋期	克期
空濛	空蒙
崑崙	昆仑
劳働	劳动
菉豆	绿豆
马劄	马扎
矇眬	蒙眬
濛濛	蒙蒙
迷濛	迷蒙
淼茫	渺茫
飘飏	飘扬
轻飏	轻扬
水菓	水果
蹚地	趟地
蹚浑水	趟浑水
蹚水	趟水
纨袴	纨绔
桠杈	丫杈
桠枝	丫枝
慇懃	殷勤
劄记	札记
枝桠	枝丫
蹠骨	跖骨
安份守己	安分守己
暗度陈仓	暗渡陈仓
把势	把式
班配	般配
棒锤	棒槌
棒棰	棒槌
暴光	曝光
报导	报道
悲忿	悲愤
背理	悖理
比画	比划
笔心	笔芯
荜路蓝缕	筚路蓝缕
辨白	辩白
辩辞	辩词
波浪鼓	拨浪鼓
泼浪鼓	拨浪鼓
部份	部分
菜子	菜籽
仓惶	仓皇
仓黄	仓皇
仓遑	仓皇
策画	策划
常年累月	长年累月
唱工	唱功
潮呼呼	潮乎乎
潮忽忽	潮乎乎
撤消	撤销
承上起下	承上启下
吃里扒外	吃里爬外
踟躇	踟蹰
串连	串联
辞汇	词汇
词令	辞令
搭拉	耷拉
答理	搭理
哒哒	嗒嗒
搭裢	褡裢
搭连	褡裢
褡连	褡裢
褡联	褡裢
打冷颤	打冷战
大放厥辞	大放厥词
铛铛	当当
当做	当作
捣腾	倒腾
悼辞	悼词
得意扬扬	得意洋洋
灯心	灯芯
滴里嘟噜	嘀里嘟噜
掉包	调包
钉梢	盯梢
丢三拉四	丢三落四
掉换	调换
东不拉	冬不拉
遁辞	遁词
哆唆	哆嗦
峨嵋山	峨眉山
发楞	发愣
翻然醒悟	幡然醒悟
反覆	反复
忿恨	愤恨
忿怒	愤怒
夫倡妇随	夫唱妇随
浮图	浮屠
辐凑	辐辏
福份	福分
俯首贴耳	俯首帖耳
赋与	赋予
夹肢窝	胳肢窝
干嘛	干吗
格登	咯噔
根柢	根底
梗咽	哽咽
宫庭	宫廷
钩勒	勾勒
勾针	钩针
够戗	够呛
孤另另	孤零零
孤伶伶	孤零零
轱轳	轱辘
毂辘	轱辘
固步自封	故步自封
故技	故伎
锢疾	痼疾
固疾	痼疾
刮刮叫	呱呱叫
呵腰	哈腰
寒颤	寒战
嚎啕	号啕
号咷	号啕
嚎咷	号啕
好高务远	好高骛远
和事老	和事佬
贺辞	贺词
黑鼓隆咚	黑咕隆咚
黑古龙冬	黑咕隆咚
黑鸦鸦	黑压压
轰堂大笑	哄堂大笑
轰笑	哄笑
宏亮	洪亮
呼嗤	呼哧
呼蚩	呼哧
呼吃	呼哧
花狸狐哨	花里胡哨
花梢	花哨
花稍	花哨
花消	花销
